model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,18,113,4.8586724286030193e-27,6.1524428788074309e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,114,4.5745020300882194e-27,5.7926034019952561e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,115,3.7325988984590274e-27,4.7265177576236724e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,116,2.7333286763731638e-27,3.4611612117319438e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,117,2.4023669022680457e-27,3.0420707214442564e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,118,1.8324226486573483e-27,2.3203613417788803e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,119,8.0572461203518352e-28,1.0202734850805834e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,120,7.3134426044487044e-28,9.2608708515557525e-29,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,1,5.6805338305412594e+00,8.5280032506114500e-01,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,2,6.3228324997106977e-01,9.4922656424821908e-02,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,3,2.0813052519213021e-01,3.1245968219519131e-02,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,4,8.4677198956860433e-02,1.2712316298061226e-02,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,5,3.4950638980723488e-02,5.2470273345798756e-03,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,6,1.3592664309014187e-02,2.0406230975777528e-03,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,7,4.5364493758970059e-03,6.8104259525548399e-04,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,8,1.1166336728589130e-03,1.6763663197787282e-04,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,9,2.2309737799174224e-04,3.3492893827818039e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,10,1.2698417216679128e-04,1.9063726496835523e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,11,1.2013436850143305e-04,1.8035387441619314e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,12,1.1791288614115429e-04,1.7701883419730085e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,13,1.0760205932678116e-04,1.6153952059534534e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,14,9.5415754101278743e-05,1.4324461140612824e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,15,9.4189783740063410e-05,1.4140410142282594e-05,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,16,5.7671167042630010e-05,8.6579873419967372e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,17,5.1860416597593446e-05,7.7856380142392433e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,18,3.7921782391331977e-05,5.6930755656012849e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,19,1.8047002623385096e-05,2.7093386225174001e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,20,1.7853782262828614e-05,2.6803310694939374e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,21,1.3451456256127027e-05,2.0194239854879746e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,22,1.2117519131874860e-05,1.8191642832999172e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,23,1.1314587940180457e-05,1.6986227986955600e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,24,9.7415396630023135e-06,1.4624661060090608e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,25,7.2022753320728520e-06,1.0812544960737175e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,26,7.1810225081308762e-06,1.0780638777785252e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,27,7.1640977574959682e-06,1.0755230192476901e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,28,6.8157591361338829e-06,1.0232280592332310e-06,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,29,6.0365647336356108e-06,9.0625010266096358e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,30,5.1885877982111210e-06,7.7894604502357528e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,31,5.0479796837065677e-06,7.5783699975902266e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,32,4.7187562464955299e-06,7.0841174103389888e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,33,4.4142515057879261e-06,6.6269742093568361e-07,parity-PRG-sector-hybrid,0.737448808997
