model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,12,76,2.6270194565316302e-14,7.6894447669203822e-15,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,77,2.4425073489013894e-14,7.1493666731235455e-15,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,78,2.2143445692059937e-14,6.4815204232708291e-15,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,79,2.2049921406162859e-14,6.4541452993834439e-15,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,80,1.0691887665087600e-14,3.1295801578627757e-15,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,1,2.5323329643175545e+00,8.7620082465997529e-01,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,2,2.6606303306021734e-01,9.2059240338373954e-02,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,3,6.9206597072528575e-02,2.3945854783437574e-02,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,4,1.8088685963783629e-02,6.2587826252752717e-03,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,5,3.5307208645358251e-03,1.2216484075127060e-03,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,6,2.8476252068969051e-04,9.8529363624897965e-05,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,7,2.5587834203950080e-04,8.8535282471457430e-05,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,8,9.8150283329505826e-05,3.3960525888861314e-05,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,9,7.7131076091629583e-05,2.6687767142268391e-05,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,10,6.8983817827377122e-05,2.3868771966497886e-05,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,11,5.2060082486654503e-05,1.8013068521961111e-05,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,12,1.8079945642278730e-05,6.2557584270287156e-06,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,13,1.6167225210184153e-05,5.5939468708233083e-06,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,14,1.4571073190124734e-05,5.0416696877019144e-06,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,15,6.0927164181452511e-06,2.1081126475944727e-06,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,16,3.4057972281177204e-06,1.1784241574668340e-06,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,17,2.0960247190355207e-06,7.2523582530607302e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,18,1.8364020849497381e-06,6.3540499764962293e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,19,1.6193969462984417e-06,5.6032005261240530e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,20,1.3071441076256515e-06,4.5227889112112828e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,21,1.1149969375647494e-06,3.8579493690351435e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,22,7.0759727820642784e-07,2.4483246375095494e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,23,6.0180100722167980e-07,2.0822638501289766e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,24,4.7791306596553939e-07,1.6536049106308273e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,25,4.2230267678288511e-07,1.4611899733058886e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,26,3.8890317845076736e-07,1.3456259128359903e-07,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,27,1.9850785590334438e-07,6.8684785727167406e-08,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,28,1.5007709351547841e-07,5.1927481478041761e-08,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,29,6.7002039316625418e-08,2.3183065943679510e-08,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,30,5.4524781405435305e-08,1.8865867603126282e-08,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,31,3.5894269244887614e-08,1.2419610199803809e-08,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,32,3.1624308088193181e-08,1.0942180675535072e-08,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,33,2.1115075483239256e-08,7.3059296750724723e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,34,1.7782587104234897e-08,6.1528707736573092e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,35,1.1916926643482466e-08,4.1233207084383982e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,36,9.3967640717977938e-09,3.2513309050823458e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,37,8.3253390819592560e-09,2.8806120964240902e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,38,6.8158716160045362e-09,2.3583282352165420e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,39,6.6706179578088981e-09,2.3080696882998278e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,40,4.1880723750126736e-09,1.4490955654051182e-09,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,41,2.3688003495404437e-09,8.1961766046098086e-10,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,42,7.9202694438913791e-10,2.7404558231689889e-10,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,43,6.8689837140763440e-10,2.3767053067887556e-10,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,44,6.6980059206227081e-10,2.3175460707271613e-10,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,45,4.9673255000013616e-10,1.7187213375112583e-10,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,46,3.5867075235518891e-10,1.2410200926311566e-10,parity-PRG-sector-hybrid,0.776816878022
